		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
Alabama	Autauga County	0.445	0.205	0.148	0.146	0.035	0.005	0.003	0.002	0.001	0.001	0	0	0.01
	Baldwin County	0.469	0.17	0.193	0.084	0.059	0.005	0.002	0.002	0.001	0.001	0.001	0	0.014
	Barbour County	0.501	0.179	0.146	0.122	0.036	0.003	0.003	0.001	0.002	0	0	0.001	0.006
	Bibb County	0.494	0.255	0.112	0.099	0.021	0.004	0.004	0.002	0.001	0.001	0	0	0.008
	Blount County	0.487	0.244	0.122	0.1	0.022	0.004	0.005	0.002	0.001	0.001	0.001	0	0.011
	Bullock County	0.565	0.17	0.116	0.085	0.042	0.013	0.002	0.004	0	0	0	0	0.005
	Butler County	0.538	0.167	0.133	0.118	0.027	0.007	0.002	0.001	0.001	0	0.001	0	0.005
	Calhoun County	0.451	0.194	0.163	0.118	0.048	0.006	0.004	0.002	0.001	0.001	0.001	0	0.01
	Chambers County	0.476	0.2	0.131	0.131	0.037	0.008	0.003	0.003	0.002	0.001	0	0	0.01
	Cherokee County	0.521	0.173	0.152	0.1	0.028	0.004	0.005	0.001	0.001	0.001	0.001	0.001	0.013
	Chilton County	0.493	0.218	0.134	0.108	0.02	0.006	0.006	0.001	0.001	0.001	0.001	0	0.011
	Choctaw County	0.499	0.21	0.147	0.079	0.032	0.009	0.005	0.003	0.001	0.001	0	0	0.013
	Clarke County	0.502	0.193	0.175	0.089	0.027	0.003	0.004	0	0.002	0	0	0	0.004
	Clay County	0.476	0.207	0.125	0.122	0.031	0.011	0.005	0.002	0.001	0.001	0.001	0.001	0.016
	Cleburne County	0.483	0.211	0.136	0.1	0.024	0.015	0.006	0.003	0.001	0.001	0.002	0.001	0.016
	Coffee County	0.414	0.233	0.155	0.132	0.036	0.006	0.004	0.003	0.001	0.001	0.001	0	0.013
	Colbert County	0.474	0.197	0.177	0.109	0.031	0.002	0.002	0.002	0	0	0	0	0.005
	Conecuh County	0.59	0.16	0.108	0.105	0.013	0.006	0.005	0.002	0	0.001	0.001	0.001	0.008
	Coosa County	0.553	0.195	0.108	0.09	0.03	0.004	0.003	0.001	0.001	0.001	0.002	0	0.01
	Covington County	0.481	0.185	0.133	0.133	0.034	0.008	0.004	0.002	0.002	0	0.001	0.001	0.016
	Crenshaw County	0.545	0.219	0.091	0.104	0.026	0.004	0	0.001	0.003	0	0.001	0.001	0.005
	Cullman County	0.506	0.203	0.135	0.11	0.027	0.004	0.003	0.002	0.001	0	0.001	0	0.008
	Dale County	0.453	0.219	0.13	0.125	0.036	0.006	0.006	0.003	0.001	0.001	0.001	0	0.018
	Dallas County	0.597	0.207	0.087	0.053	0.026	0.009	0.006	0	0	0	0.001	0	0.015
	DeKalb County	0.476	0.164	0.216	0.098	0.025	0.004	0.004	0.002	0.001	0	0	0	0.01
	Elmore County	0.478	0.182	0.134	0.148	0.036	0.005	0.003	0.003	0.001	0	0.001	0	0.009
	Escambia County	0.493	0.171	0.18	0.102	0.034	0.005	0.004	0.002	0.001	0.001	0.001	0	0.006
	Etowah County	0.461	0.207	0.168	0.112	0.033	0.004	0.003	0.002	0.001	0	0.001	0	0.007
	Fayette County	0.499	0.21	0.133	0.098	0.025	0.005	0.009	0.002	0.001	0	0.001	0	0.018
	Franklin County	0.515	0.213	0.134	0.093	0.026	0.003	0.005	0.002	0.001	0	0.001	0	0.007
	Geneva County	0.486	0.237	0.13	0.093	0.023	0.007	0.005	0.002	0.001	0.001	0.001	0	0.013
	Greene County	0.538	0.216	0.121	0.07	0.037	0.007	0.004	0	0.004	0	0.004	0	0
	Hale County	0.521	0.25	0.117	0.078	0.021	0.002	0.003	0	0.002	0.001	0	0.001	0.005
	Henry County	0.468	0.223	0.143	0.115	0.028	0.006	0.003	0.001	0.002	0.001	0.001	0	0.011
	Houston County	0.404	0.225	0.182	0.114	0.041	0.007	0.004	0.002	0.002	0.001	0.001	0	0.017
	Jackson County	0.499	0.164	0.169	0.108	0.028	0.004	0.004	0.001	0.001	0	0.001	0	0.02
	Jefferson County	0.35	0.238	0.247	0.089	0.061	0.004	0.002	0.002	0.001	0.001	0	0	0.005
	Lamar County	0.504	0.193	0.13	0.096	0.029	0.008	0.01	0.003	0.003	0.001	0.001	0.001	0.023
	Lauderdale County	0.421	0.183	0.187	0.121	0.055	0.004	0.005	0.003	0.001	0.001	0.002	0	0.017
	Lawrence County	0.528	0.176	0.135	0.107	0.029	0.006	0.004	0.001	0.001	0.001	0.002	0.001	0.009
	Lee County	0.33	0.232	0.225	0.117	0.071	0.006	0.004	0.003	0.001	0.001	0.001	0	0.01
	Limestone County	0.43	0.214	0.189	0.108	0.039	0.004	0.002	0.002	0.001	0.001	0.001	0	0.009
	Lowndes County	0.595	0.163	0.099	0.105	0.031	0.001	0.001	0.001	0	0	0	0	0.004
	Macon County	0.48	0.198	0.124	0.127	0.053	0.005	0.005	0	0	0.001	0	0	0.007
	Madison County	0.362	0.207	0.26	0.096	0.06	0.003	0.002	0.003	0.001	0.001	0.001	0	0.006
	Marengo County	0.539	0.212	0.118	0.079	0.024	0.009	0.003	0.002	0	0	0.001	0.001	0.012
	Marion County	0.529	0.192	0.139	0.089	0.025	0.006	0.006	0.002	0.001	0.001	0.002	0.001	0.008
	Marshall County	0.495	0.151	0.206	0.098	0.032	0.003	0.003	0.002	0.001	0.001	0.001	0	0.007
	Mobile County	0.452	0.215	0.189	0.077	0.046	0.005	0.002	0.003	0.001	0.001	0.001	0	0.009
	Monroe County	0.521	0.174	0.158	0.099	0.029	0.005	0.005	0.002	0.001	0	0.001	0.001	0.005
	Montgomery County	0.394	0.176	0.209	0.127	0.073	0.006	0.002	0.002	0.001	0.001	0	0	0.008
